DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2007-01-03,3342.695556640625,21,5,8.8,176,73.3
2007-01-04,3327.8955078125,24,5,10.0,179,74.3
2007-01-05,3325.295654296875,14,6,5.8,182,75.5
2007-01-08,3286.8955078125,9,5,3.7,177,73.4
2007-01-09,3264.095703125,12,6,5.0,174,72.2
2007-01-10,3214.595947265625,11,6,4.6,166,68.9
2007-01-11,3284.295654296875,13,6,5.4,176,73.0
2007-01-12,3362.095703125,23,6,9.5,183,75.9
2007-01-15,3385.195556640625,34,5,14.1,185,76.8
2007-01-16,3386.195556640625,27,5,11.2,183,75.9
2007-01-17,3396.445556640625,30,6,12.4,186,77.2
2007-01-18,3415.195556640625,26,5,10.8,190,78.8
2007-01-19,3397.595703125,19,5,7.9,188,78.0
2007-01-22,3405.845703125,20,5,8.3,185,76.8
2007-01-23,3368.49560546875,16,5,6.6,183,75.9
2007-01-24,3388.795654296875,18,7,7.5,179,74.3
2007-01-25,3431.595703125,23,10,9.5,182,75.5
2007-01-29,3424.49560546875,22,10,9.1,184,76.3
2007-01-31,3393.095703125,18,9,7.5,180,74.7
2007-02-01,3431.99560546875,15,8,6.2,183,75.9
2007-02-02,3462.145263671875,26,6,10.7,185,76.4
2007-02-05,3480.595458984375,23,6,9.5,187,77.3
2007-02-06,3474.095458984375,27,5,11.2,186,76.9
2007-02-07,3494.1953125,20,5,8.3,183,75.6
2007-02-08,3492.6953125,19,5,7.9,185,76.4
2007-02-09,3453.345458984375,13,5,5.4,180,74.4
2007-02-12,3338.445556640625,6,11,2.5,163,67.4
2007-02-13,3324.545654296875,6,9,2.5,161,66.5
2007-02-14,3322.74560546875,5,12,2.1,159,65.7
2007-02-15,3403.695556640625,15,5,6.2,173,71.2
2007-02-19,3414.6455078125,17,5,7.0,171,70.4
2007-02-20,3373.345703125,10,4,4.1,166,68.3
2007-02-21,3365.095703125,7,5,2.9,169,69.5
2007-02-22,3322.445556640625,11,8,4.5,160,65.6
2007-02-23,3241.745849609375,6,14,2.4,150,61.2
2007-02-26,3244.745849609375,8,15,3.3,157,64.1
2007-02-27,3223.7958984375,9,6,3.7,153,62.4
2007-02-28,3107.745849609375,7,19,2.9,139,56.7
2007-03-01,3147.495849609375,6,10,2.4,141,57.3
2007-03-02,3091.245849609375,7,6,2.8,134,54.3
2007-03-05,2957.84619140625,5,29,2.0,111,44.9
2007-03-06,3002.946044921875,5,18,2.0,113,45.7
2007-03-07,2968.446044921875,5,17,2.0,101,40.9
2007-03-08,3072.595947265625,5,18,2.0,117,47.4
2007-03-09,3048.14599609375,5,10,2.0,116,46.8
2007-03-12,3066.296142578125,5,7,2.0,117,47.2
2007-03-13,3102.7958984375,5,5,2.0,122,49.2
